,id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,Class
0,2.6047760210593226e-06,0.00010940059288449155,0.00013023880105296612,0.7056338241049704,0.7057484342498971,0.0006954751976228391,4.428119235800848e-05,0.00011461014492661018,0.06308767523005679,0.0001979629776005085,0.00028131581027440684,0.004394257147527077,2.6047760210593226e-06,0.0,0.00020838208168474578,1.2971784584875424e-07,6.290534090858264e-07,4.735482806285848e-07,1.2242447298978816e-08,1.2258075955105172e-06,2.6047760210593226e-06,2.6047760210593226e-06,6.320489015100446e-06,2.352373224618674e-06,4.280949390610996e-06,2.1312277404307377e-06,-7.587712549345806e-07,1.5165005994607376e-06,2.6047760210593226e-06,0.0,0.0,0.0,0.0,0.0,1
1,5.571923291955233e-07,0.00017969452616555627,0.00018136610315314285,0.7070990748461223,0.7071071541348957,3.008838577655826e-05,2.785961645977617e-06,8.35788493793285e-06,0.0031751604879206898,2.340207782621198e-05,3.426732824552468e-05,0.00046999172967642394,2.7859616459776166e-07,0.0,2.2287693167820935e-05,2.1304248706790835e-07,1.0567152523193101e-07,5.764154645527689e-08,1.002946192551942e-09,1.6715769875865698e-07,2.693189123166562e-07,2.7859616459776166e-07,5.664974410930885e-07,2.1680353528997812e-07,4.0741903110776664e-07,2.2095461814248479e-07,-4.892148650336695e-08,8.313309551597209e-08,2.7859616459776166e-07,0.0,0.0,0.0,0.0,0.0,1
2,1.365129970566859e-06,0.00037723091519997537,0.0003799611751411091,0.7070977359844866,0.7071059267643099,3.2308075970082326e-05,3.6403465881782904e-06,8.64582314692344e-06,0.0036276053751196666,4.5049289028706345e-05,5.688041544028579e-05,0.0007385353140766707,4.550433235222863e-07,0.0,4.5504332352228634e-05,4.4184706714014e-07,1.558978426387353e-07,1.5166593972997802e-07,1.6836602970324594e-09,3.4128249264171474e-07,4.3110804470501406e-07,4.550433235222863e-07,8.424217048368087e-07,3.5411471436504323e-07,5.71215884017526e-07,3.0337738379230826e-07,-5.587932012853676e-08,9.783431455729155e-08,4.550433235222863e-07,0.0,0.0,0.0,0.0,0.0,1
3,7.651864109330919e-06,0.0016317600213148185,0.0016451507835061475,0.7065922615158904,0.7066783449871203,0.0003366820208105604,2.4868558355325486e-05,8.608347122997283e-05,0.03633870265521253,0.00018938363670594025,0.00024103371944392393,0.0025882430349811834,0.0,1.9129660273327296e-06,0.0005547601479264916,1.3939783441173601e-06,8.441919078619337e-07,2.976575138529727e-07,9.947423342130194e-09,1.030132205718675e-06,1.9129660273327296e-06,1.9129660273327296e-06,4.295565214375644e-06,1.6166475896988897e-06,3.162515436386469e-06,1.615308513479757e-06,-2.99953073085772e-07,9.970378934458187e-07,1.9129660273327296e-06,0.0,0.0,0.0,0.0,0.0,1
4,6.697065838198372e-06,0.0017265035730875404,0.0017492735969374148,0.6671322317116338,0.6674764608957172,0.003226646320843976,8.036479005838047e-05,0.00034824742358631537,0.3307412934852648,4.9558287202667954e-05,0.00016876605912259898,0.0018122260158164795,0.0,1.3394131676396745e-06,0.00024779143601333977,9.308921515095738e-08,6.00860747003158e-07,8.866915169774645e-08,1.68766059122599e-08,3.794557503923198e-07,1.3240099162118183e-06,1.3394131676396745e-06,4.529627450323851e-06,1.6481479027806195e-06,3.2278517926948517e-06,1.250744015941928e-06,-2.6681110299382314e-07,1.3394131676396745e-06,1.3394131676396745e-06,0.0,0.0,0.0,0.0,0.0,1
5,3.8722814444735584e-05,0.00277513503520605,0.0028461268616880656,0.6469936913474571,0.6475551721569057,0.004065895516697236,0.0001290760481491186,0.0005614808094486659,0.4024397567217295,0.00041304335407717956,0.0008196329057469032,0.008951423939141376,0.0,6.453802407455931e-06,0.0002581520962982372,4.001357492622677e-06,2.2052642826276913e-06,8.157606243024297e-07,5.0985039018901857e-08,3.5495913241007623e-06,6.453802407455931e-06,6.453802407455931e-06,1.8066129079191386e-05,6.720989827124607e-06,1.2517149769260777e-05,5.6380417831535015e-06,-1.4630770057702595e-06,6.372484497121987e-06,6.453802407455931e-06,0.0,0.0,0.0,0.0,0.0,1
6,4.682463165956553e-06,0.00027626532679143667,0.0002983397960023747,0.092624472809096,0.09290207598250629,0.006055093796891246,0.00015385236116714388,0.00028897486967046157,0.9913383242541598,1.538523611671439e-05,0.0001331157385750506,0.0011284736229955294,0.0,6.689233094223647e-07,0.00010033849641335472,3.2750485229318977e-07,2.2676500189418167e-07,5.3179403099078e-08,1.3110896864678348e-08,9.599049490210934e-08,6.426346233620658e-07,6.689233094223647e-07,2.6467288583914705e-06,1.015760045357861e-06,1.7513081163986932e-06,6.157439063232868e-07,1.86696495659782e-07,6.689233094223647e-07,6.689233094223647e-07,0.0,0.0,0.0,0.0,0.0,1
7,2.6756044737884312e-05,0.0006354560625247524,0.0006689011184471078,0.7054766316037957,0.7055435217156404,0.00044147473817509117,3.678956151459093e-05,6.689011184471078e-05,0.06691352338385644,0.0004147186934372068,0.0005752549618645127,0.0056421809341013545,0.0,3.344505592235539e-06,0.0005016758388353309,7.53517109930667e-07,1.1371319013600833e-06,1.6722527961177695e-06,1.973258299418968e-08,3.0404900339013287e-06,3.344505592235539e-06,3.344505592235539e-06,7.092358558894684e-06,3.344505592235539e-06,4.351201775498436e-06,1.6722527961177695e-06,6.157234795305627e-07,1.1234194284319174e-06,3.344505592235539e-06,0.0,0.0,0.0,0.0,0.0,1
8,1.4808279148213564e-05,0.0005429702354344974,0.000564359971981917,0.7062348037722516,0.7062775832453464,0.00043437618834759787,2.4680465247022607e-05,4.277947309483919e-05,0.04894629867789523,8.720431053947987e-05,0.00024351392377062306,0.0027757296581151425,0.0,1.6453643498015072e-06,0.00024680465247022606,6.436665336423496e-07,3.6017025617154996e-07,8.226821749007536e-07,1.2669305493471605e-08,1.4260372819729662e-06,1.6453643498015072e-06,1.6453643498015072e-06,3.98441430947933e-06,1.8327713492438987e-06,2.3281905549691326e-06,8.226821749007536e-07,-1.969501126712404e-07,9.20252280843983e-07,1.6453643498015072e-06,0.0,0.0,0.0,0.0,0.0,1
9,8.955494871059624e-06,6.627066204584122e-05,8.059945383953662e-05,0.697762009581688,0.6979088796975734,0.0013486975275815796,4.119527640687427e-05,0.00014955676434669573,0.16139145081880102,4.746412281661601e-05,0.00012806357665615264,0.0015107919847477586,0.0,8.955494871059625e-07,0.00013433242306589438,7.853969001919291e-08,3.815936364558506e-07,8.740562994154194e-08,8.507720127506643e-09,3.1147211161545377e-07,8.794295963380552e-07,8.955494871059625e-07,2.8458771601253277e-06,1.0783311374242895e-06,1.9834630040422858e-06,8.081438571644205e-07,-5.830027161059816e-08,8.955494871059625e-07,8.955494871059625e-07,0.0,0.0,0.0,0.0,0.0,1
