,Unnamed: 0,id,COMPACTNESS,CIRCULARITY,DISTANCE,RADIUS,PR.AXIS,MAX.LENGTH,SCATTER,ELONGATEDNESS,PR.AXIS.1,MAX.LENGTH.1,SCALED,SCALED.1,SCALED.2,SKEWNESS,SKEWNESS.1,KURTOSIS,KURTOSIS.1,HOLLOWS,binaryClass
0,0,0.0015884646459455,0.150904141364826,0.0762463030053858,0.1318425656134796,0.2827467069783057,0.1143694545080787,0.0158846464594553,0.2573312726431771,0.0667155151297125,0.0317692929189107,0.2525658787053405,0.2795697776864146,0.6020281008133588,0.2922774948539789,0.1111925252161876,0.0095307878756732,0.0254154343351286,0.2970428887918155,0.3129275352512709,0
1,1,0.0034878156714129,0.1586956130492899,0.0715002212639658,0.1464882581993445,0.2458910048346141,0.0994027466352695,0.0156951705213583,0.2598422675202659,0.0784758526067917,0.0331342488784231,0.249378820506027,0.2964643320701021,0.5754895857831394,0.2755374380416243,0.1255613641708667,0.0156951705213583,0.0244147096998907,0.3295985809485253,0.3470376593055901,0
2,2,0.003528718299284,0.1223289010418462,0.0588119716547337,0.1246813799080356,0.2458340415167872,0.0776318025842485,0.0117623943309467,0.2434815626505978,0.0376396618590296,0.0270535069611775,0.1858458304289587,0.2623013935801126,0.746912040015119,0.2587726752808286,0.0858654786159113,0.0164673520633254,0.010586154897852,0.221133013421799,0.2305429288865564,0
3,3,0.0071402619835174,0.1660110911167816,0.0731876853310542,0.1463753706621085,0.2838254138448202,0.1124591262404004,0.0160655894629143,0.2570494314066295,0.0821130128104511,0.033916244421708,0.2552643659107502,0.2856104793406995,0.551585238226726,0.2267033179766802,0.1124591262404004,0.0107103929752762,0.0178506549587937,0.355228033679995,0.36950855764703,0
6,6,0.0114487956290191,0.1586475965735506,0.0703283160068317,0.1193945829883422,0.2829488062600439,0.106310245126606,0.009813253396302,0.2502379616057035,0.0686927737741146,0.0310753024216233,0.2338825392785333,0.2878554329581949,0.5904307460108429,0.2813132640273268,0.107945787359323,0.0212620490253212,0.001635542232717,0.3271084465434033,0.3336506154742714,1
7,7,0.0145889728888287,0.1641259449993236,0.0784157292774546,0.1203590263328373,0.2863085929432645,0.1185354047217337,0.0164125944999323,0.2498361607211925,0.0875338373329725,0.0328251889998647,0.2662487552211249,0.2954267009987825,0.5124376727201103,0.2990739442209896,0.1221826479439408,0.0054708648333107,0.0054708648333107,0.3519589709429939,0.3683715654429262,0
9,9,0.0138338921377931,0.1286551968814762,0.0608691254062898,0.1355721429503728,0.2725276751145249,0.0857701312543174,0.0152172813515724,0.2531602261216145,0.0498020116960553,0.0304345627031449,0.2019748252117799,0.2794446211834215,0.6986115529585537,0.2102751604944557,0.0885369096818761,0.0055335568551172,0.0193674489929104,0.2697608966869663,0.2822113996109801,0
10,10,0.0212257540226176,0.1659468041768292,0.0694661040740215,0.1350729801439307,0.2759348022940299,0.1177064541254253,0.0173665260185053,0.2566386622734684,0.0964807001028076,0.0347330520370107,0.2508498202672999,0.2952309423145914,0.5132773245469368,0.2450609782611314,0.1273545241357061,0.0038592280041123,0.0192961400205615,0.3743451163988937,0.389782028415343,0
11,11,0.0246120320409363,0.1845902403070225,0.0697340907826529,0.1353661762251498,0.2789363631306119,0.1128051468542915,0.0123060160204681,0.2522733284195975,0.1107541441842135,0.0348670453913264,0.2420183150692073,0.3035483951715482,0.4594245980974784,0.2420183150692073,0.1333151735550718,0.0102550133503901,0.0533260694220287,0.4019965233352935,0.4143025393557617,0
12,12,0.0214701011841374,0.1453360695541612,0.0759711272669479,0.1222144221250901,0.2824144078836543,0.1123051446554882,0.0099092774696019,0.2510350292299149,0.0710164885321469,0.0313793786537393,0.2444288442501803,0.2972783240880571,0.5763896394818441,0.3170968790272609,0.1172597833902892,0.0082577312246682,0.0181670086942701,0.31214224029246,0.3220515177620619,1
13,13,0.0239565577473536,0.1522952599653194,0.0718696732420608,0.1454505291803613,0.2464103082584944,0.0992485963818935,0.0171118269623954,0.2600997698284107,0.0752920386345399,0.0325124712285513,0.2464103082584944,0.2960346064494412,0.5903580302026429,0.2755004140945666,0.1232051541292472,0.0136894615699163,0.022245375051114,0.3199911641967948,0.3371029911591903,0
14,14,0.0212058250920728,0.1328898372436565,0.0692723619674379,0.1116840121515836,0.2869854995793859,0.1003742387691448,0.0070686083640242,0.245987571068045,0.0523077018937796,0.0296881551289019,0.2177131376119479,0.2770894478697518,0.6573805778542583,0.2912266645978004,0.1003742387691448,0.0084823300368291,0.0028274433456097,0.2785031695425567,0.2813306128881664,1
15,15,0.01888627858956,0.1133176715373601,0.0649215826516125,0.1215804184202926,0.2372588747813478,0.0767255067700876,0.0106235317066275,0.2408000520168903,0.03777255717912,0.0271490254724925,0.1959451403666852,0.2679490774893829,0.736564864992841,0.2903765333144854,0.0873490384767151,0.007082354471085,0.002360784823695,0.2195529886036353,0.2289961278984153,0
16,16,0.0369873865722517,0.1936398473488474,0.0783262303882978,0.1109621597167552,0.2371544197867907,0.1131378883386524,0.0130543717313829,0.2567359773838651,0.1240165314481382,0.0369873865722517,0.2806689922247339,0.2980748211999112,0.4482000961108154,0.2719660777371453,0.1740582897517729,0.0043514572437943,0.0304602007065602,0.3938068805633863,0.402509795050975,0
17,17,0.0255412178512189,0.1404766981817041,0.0581772184388875,0.1092596541413254,0.2795344398161182,0.0979080017630058,0.0085137392837396,0.2511553088703194,0.0510824357024378,0.0297980874930887,0.1972349600733017,0.286629222552568,0.6881939254356212,0.214262438640781,0.1021648714048757,0.0056758261891597,0.0141895654728994,0.2809533963634082,0.2823723529106982,1
18,18,0.0214020832473737,0.1171482451435197,0.0608269734399044,0.1126425434072304,0.2095151307374486,0.0687119514784105,0.011264254340723,0.2433078937596178,0.0349191884562414,0.0270342104177353,0.1948716000945087,0.2534457226662686,0.772727847773601,0.247813595495907,0.0833554821213505,0.0056321271703615,0.0123906797747953,0.2083887053033764,0.2196529596440994,0
19,19,0.0230834102218562,0.116571221620374,0.0646335486211974,0.1154170511092811,0.2481466598849545,0.079637765265404,0.0115417051109281,0.2400674663073048,0.0369334563549699,0.0277000922662274,0.1950548163746852,0.2619967060180683,0.7513650027214206,0.2573800239736971,0.085408617820868,0.0069250230665568,0.005770852555464,0.214675715063263,0.2227549086409126,0
20,20,0.0351791367930206,0.1407165471720825,0.0787342585367604,0.125639774260788,0.2563051394920075,0.1072126073692057,0.010051181940863,0.2579803364821513,0.0720334705761851,0.0318287428127329,0.2429035635708568,0.293159473275172,0.5930197345109194,0.3082362461864665,0.125639774260788,0.0,0.0050255909704315,0.3099114431766104,0.3216378221076172,1
21,21,0.0466244027550999,0.1780204468831088,0.0784137682699408,0.1123224248191044,0.2564342151530496,0.1250381710250407,0.0105964551716136,0.2606727972216951,0.1165610068877498,0.0360279475834863,0.2649113792903406,0.2988200358395042,0.4683633185853221,0.2818657075649223,0.1737818648144634,0.014835037240259,0.0021192910343227,0.3793530951437677,0.3878302592810586,0
22,22,0.0383390846274068,0.1566901719554888,0.0716774190860215,0.1066826702675668,0.2883765930670167,0.1150172538822205,0.0116684170605151,0.2500375084396099,0.0716774190860215,0.0316714177356839,0.236702174656164,0.2817089261752938,0.573419352688172,0.2950442599587397,0.1133503371592898,0.0150022505063765,0.0016669167229307,0.3317164278632158,0.3433848449237309,1
23,23,0.0435370254467768,0.1578217172445659,0.0707476663510123,0.1269829908864324,0.2684783235884571,0.1106566063438911,0.0126982990886432,0.2594081099537119,0.0834459654396555,0.0326527690850826,0.2467098108650686,0.2975030072196416,0.5569111171733535,0.2557800244998138,0.1251689481594833,0.001814042726949,0.003628085453898,0.3482962035742146,0.3609945026628578,1
24,24,0.0295495062803358,0.1170160448701299,0.0626449533143119,0.1241079263774105,0.2588536750157419,0.0780106965800866,0.0130017827633477,0.2411239712475404,0.0378233680388298,0.0271855457779089,0.1950267414502165,0.2612176355181688,0.7363736965059691,0.2647635762718091,0.0803746570825134,0.0,0.0070918815072806,0.2257582279817657,0.2375780304939001,0
