,id,left-weight,left-distance,right-weight,right-distance,binaryClass
0,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,N
1,0.6030226891555273,0.30151134457776363,0.30151134457776363,0.30151134457776363,0.6030226891555273,N
2,0.6546536707079772,0.2182178902359924,0.2182178902359924,0.2182178902359924,0.6546536707079772,N
3,0.6761234037828132,0.1690308509457033,0.1690308509457033,0.1690308509457033,0.6761234037828132,N
4,0.6868028197434451,0.13736056394868904,0.13736056394868904,0.13736056394868904,0.6868028197434451,N
5,0.914991421995628,0.15249857033260467,0.15249857033260467,0.30499714066520933,0.15249857033260467,N
6,0.9113223768657671,0.13018891098082389,0.13018891098082389,0.26037782196164777,0.26037782196164777,N
7,0.9000703207408192,0.1125087900926024,0.1125087900926024,0.2250175801852048,0.3375263702778072,N
8,0.8867963503478639,0.09853292781642932,0.09853292781642932,0.19706585563285864,0.3941317112657173,N
9,0.8737040566610379,0.0873704056661038,0.0873704056661038,0.1747408113322076,0.43685202833051895,N
10,0.9538209664765319,0.086710996952412,0.086710996952412,0.26013299085723596,0.086710996952412,N
11,0.951661902861773,0.07930515857181442,0.07930515857181442,0.23791547571544325,0.15861031714362883,N
12,0.9456108576893003,0.07273929674533079,0.07273929674533079,0.21821789023599236,0.21821789023599236,N
13,0.9375093422553951,0.06696495301824251,0.06696495301824251,0.2008948590547275,0.26785981207297005,N
14,0.9284766908852594,0.061898446059017294,0.061898446059017294,0.1856953381770519,0.3094922302950865,N
15,0.9648363026488435,0.060302268915552716,0.060302268915552716,0.24120907566221086,0.060302268915552716,N
16,0.9639815611103626,0.05670479771237427,0.05670479771237427,0.2268191908494971,0.11340959542474854,N
17,0.9607689228305228,0.05337605126836238,0.05337605126836238,0.21350420507344953,0.16012815380508716,N
18,0.9559937503105924,0.05031546054266276,0.05031546054266276,0.20126184217065105,0.20126184217065105,N
19,0.9502286762911598,0.04751143381455799,0.04751143381455799,0.19004573525823196,0.23755716907278995,N
20,0.9696899027331813,0.04617570965396102,0.04617570965396102,0.23087854826980508,0.04617570965396102,N
21,0.9694358283263099,0.044065264923923174,0.044065264923923174,0.22032632461961588,0.08813052984784635,N
